system_id,sentence
5,徐秀蘭認為，滿足英飛凌這樣的需求很可能是生存問題，台灣不僅需要足夠的電力來滿足未
5,來成長，實際上還需要足夠的綠能來維持競爭力
5,完整新聞連結
5,///////
5,備註
5,企業都嫌綠電不夠用
5,而藍白仔卻還在反綠電
5,就連中國都在積極發展綠電
5,不禁懷疑藍白仔反綠電是不是為了降低台灣企業的競爭力
5,以便讓中國從中得利
6,台灣綠電發展太慢
6,但台積電又壟斷台灣高階人材
6,的幹嘛不自己研發綠電
6,以這種輪班效率太陽能轉換效率早就破錶了吧
6,說不定都開始要蓋核五核融合發電了
6,如果台積電自己研發綠能有沒有搞頭
6,是否有專板
6,本板並非萬能問板
6,三則
6,本看板嚴格禁止政治問卦
6,未滿繁體中文字水桶個月
6,未滿繁體中文字水桶個月
6,未滿繁體中文字水桶個月，嚴重者以鬧板論
6,不然是什麼
6,機乎大學院校理工任都跑去台積了，整個台灣產業根本不健康
7,美爸給的啊，要不然，荷蘭憑什麼整
7,合西方各國頂尖科技
7,為什麼是荷蘭
7,因為小國好操控啊
7,把放在德
7,國日本義大利法國英國這些
7,有科技有管理能力的中型國家，真扶
7,植起來了，但是不聽美爸的話，美爸
7,也不能槌定音，不是
7,就像台放呆完三星放韓國，到
7,美國設先進製程廠自損，不就美爸
7,句話的事
7,韓國總桶，呆完屁都
7,不敢放個，立馬照做
7,美爸要禁中共半導體成熟製程，這個
7,荷蘭不就照辦，禁了較先進，然
7,後裹脅日本體遵辦
7,如果只放在日
7,本，要禁就不定那麼容易了
8,版上有種文會講超久以前的事
8,大家都已經知道的事情
8,剛剛看到的計畫出續集了
8,什麼去百視達租片該注意什麼
8,終於要買撥接數據機了
8,之類的
8,然後下面就會回記得長榮
8,記得台積電
8,開始兩篇還挺有趣
8,後面覺得怎麼那麼無聊
8,是要營造自己穿越時空的感覺嗎
8,到底再想什麼
9,想問大家，印象中我們這幾年好像很有錢，像疫情也發錢，什麼三倍五倍卷的上次也全
9,民發，這次又有高中職大學補貼等等等等
9,我都快搞混了，我們這麼有錢，是因為這幾年台灣竹科園區，像台積電等等賺翻了，貢獻
9,很多稅金，我們才這麼有錢嗎
9,大家怎麼看啊
10,其實根本問題不再於公私校名校的問題
10,而是在於大學過多造成學歷貶值的問題
10,導致最後競爭是在上好大學名校而不是上大學
10,其實剛好相反你說的是高中以下的教育
10,美國那套大學教育才是菁英教育
10,美國那套就是要有錢有能力才能上大學
10,而台灣是把有限的教育資源過度分散開
10,導致台灣學校在爭取國際優秀教授的時候薪水都不具有優勢
10,以台積電為例有多少上層是台灣大學培養出來的
10,基本都是杜克大學培養出來的這中間有不分是的問題
10,當然部分是台灣教育的問題
10,ㄎㄎ
10,美國公立大學也沒那麼便宜
10,你說的是社區大學
11,重啟服貿行不行
11,李淳服貿像過期雞排還有人賣要小心
11,余弦妙
11,對於重啟服貿的議題，外交部政務次長李淳今日將服貿定義成過期臭掉的雞排，還
11,拿出來販售，至於台美世紀貿易倡議，他則認為未來將會更有助於台美雙方企業的貿易
11,往來
11,李淳今天接受自由時報網路頻道官我什麼事專訪時針對近日外界提到重啟服貿的相關
11,議題，他利用雞排來比喻，他說，就像是有廚師打開個冷凍櫃，看到裡面有塊雞排很
11,興奮並賣給客人，殊不知已經過期十幾年已經壞掉了，這就是我對服貿的定義
11,李淳也說，年前開始推動服貿也包含貨貿，當時中國大陸國家主席習近平尚未上台
11,，時任主席為胡錦濤，且全世界當時都把中國大陸當成世界工廠潛在重要市場都想進入
11,中國大陸，但經過這麼多年世界也開始對中國大陸認清了真面目，中國大陸並沒有要改變
11,，再來他們也想透過市場開放吸引世界各國的資本科技跟人才來壯大自己，中國大陸甚
11,至會把兩國間的經濟互相依賴變成種武器來攻擊其他國家
11,李淳也說，現在各國逐漸不與中國大陸簽協定，因這些協定會使中國大陸撿到槍的機率提
11,升，子彈也越來越大顆，現在大家都在講脫鉤跟去風險化，所以現在如果再提重啟服貿，
11,那跟我們站在同陣線的國家也會質疑我國立場
11,他也說，若吃了這些雞排會讓台灣拉肚
11,子讓他國不願與台灣交往，就應該把它放回冷凍庫甚至回收，服貿本身真的就是
11,個過期十年已經臭掉的雞排，消費者不愛吃了對身體也不好，還有人要拿出來賣，大
11,家就要小心
11,至於台美世紀貿易倡議首批協定，李淳則是認為，該協定其實是在建立個更可以預測
11,的制度
11,當下或許看不出效果，可是當企業碰到問題時，這些條款都可能是救命丸
11,舉例
11,來說，貿易便捷化章節中包括許多通關便捷文件的相互承認，除了加速通關速度減少成
11,本外，以蘭花出口為例，必須在對的時間進入市場，若在海關卡個禮拜就無法賣了
11,過
11,去若蘭花商遇到通關問題，必須透過架構溝通或補文件，來往就相當耗時，有了
11,台美這個協定之後，就有指定窗口可以加速處理
11,李淳也說，或許現在大家看下來覺得牛肉不多但之後就會開始逐漸發現，台美之間的
11,企業所享受到的優惠將會遠超過沒有跟美國簽這個協定的國家
11,接下來台美之間最優先的
11,還是要先以台美世紀貿易協定為主，再來就是處理雙重課稅議題
11,台灣不斷向美國反映
11,這是台灣企業界赴美投資的障礙，包含台積電赴美投資，美國已經理解這個問題
11,的重要性，也正積極尋求各種方式解決
11,完整新聞連結或短網址不可用等轉載媒體
11,//////
11,備註
12,以
12,這個問題我有做過些研究
12,推演過程略過，直接說結論
12,答案應該是類似新疆模式
12,台灣對中國最有價值的是軍事戰略價值
12,會劃出幾個軍事特區
12,例如蘇澳港高雄左營港東沙等等
12,還有西半部所有蚊子機場改成軍用機場
12,居民全部遷移，解放軍進駐
12,成立台灣生產建設兵團
12,類似新疆生產建設兵團
12,平時從事生產自給自足，動亂時負責平叛
12,再調派萬武警常駐台灣各縣市
12,三步崗五步哨
12,走到哪都要查身分證過安檢
12,輔以全台安裝數十萬人臉辨識監控攝影機
12,殺批流放新疆批扶貧批
12,對公然造反的直接殺雞儆猴
12,對消極抵制者流放新疆
12,對順民進行扶貧
12,派遣數十萬共產黨幹部全面接管台灣各級政府機構
12,只留最低級的村里長開放票選
12,鄉鎮縣市以上各級領導職務都由共產黨幹部擔任
12,其他什麼改教科書改造司法體系這種基本操作就不提了
12,至於發展經濟什麼的，因為台積電會被美國射飛彈摧毀，必須另外想辦法才行
13,小妹我的看法是這樣
13,以前年代升學機會較少，生的又多
13,變成只有極少數能唸大學
13,再來就是唸專科
13,絕大多數唸到高中高職就認份出來找工作了
13,父母那輩比較能吃苦就是這樣來的
13,啊你又考不上大學，就早點出去工作啊，不然供在家裡給你吃閒飯嗎
13,反正大家都沒唸到大學，大家都差不多，早點趕快買房找個對象
13,日子也就這樣過去了
13,現在就不是這樣
13,每個人都能唸到大學
13,隱約之間就產生了種優越感跟膨脹感
13,我唸大學，我很優秀，我是人才
13,你要這些人才去做苦工認清自己的能力
13,他們當然不同意啊
13,他們就是直躲，直延後就業問題
13,從大學，到研究所，再來就是萬年考公職
13,反正就是直逃避現實問題
13,真的躲無可躲了
13,就直接怪政府，怪社會
13,是政府讓景氣那麼差，讓我這樣的優秀人才找不到好工作的
13,卻沒想過去台積電做設備也可以百萬年薪
13,你要我這樣的優秀人才去做工
13,我才不幹勒
13,政府應該要保障各行各業都有好的前景發展啊
13,無專業能力也妄想領高薪，叫他去做工還覺得委屈
13,房價都是房蟲炒高的啦
13,營建成本通膨利稅率都不看就是了
13,其實早年父母輩買的地方就也是當年的蛋殼區
13,是後來隨著都市發展外擴，才納入蛋黃的
13,所以以前年代的三重，跟現在的三重
13,那個概念跟位階是不同的
13,就像若干年前的林口三峽
13,什麼鬼城啊，沒人要之類的
13,現在都變好地段了
13,那現在很多人就是不想要去拓荒
13,想要用蛋殼的價格買現成的蛋黃
13,整個就是想要用唸文化的腦袋去唸清交
13,然後事與願違，又不肯認清現實，只能賴家租屋上網崩潰
13,不過也好啦
13,如果人人都認清現實跑去買房
13,那房價只怕會漲得更兇喔
14,台積電去年用電量達億度年增
14,自由
14,記者洪友芳新竹報導
14,///
14,晶圓代工龍頭廠台積電隨著先進製程大量產出，貢獻營收超過半，奈米也開始
14,量產，去年能源消耗也隨之增多，根據台積電最新的永續報告書顯示，台積電去年能源總消
14,耗量為億度，較前年的億度增加，達歷年新高，其中，電力佔達億度
14,年增，再創新高，並達能源總消耗量的，再生能源電力約佔億度僅
14,台積電去年營收達兆元，年增，稅後盈餘達兆元，年增，每股大賺
14,元，營收與獲利創歷史新高，能源消耗也跟著增多
14,台積電奈米製程貢獻去年營收比重
14,，奈米製程比重也達，奈米奈米先進製程貢獻營收比重達，奈米也開始量產，
14,預計今年將開始貢獻營收
14,先進製程採用極紫外光的耗電量較高，台積電在新出爐的的永續報告書指出，因應
14,半導體技術快速演進，能源消耗也隨之增加，去年台積公司能源總消耗量為億度，其中
14,，外購電力約天然氣柴油
14,能源消耗數據範圍涵蓋台灣廠區中國松江廠
14,與南京廠美國子公司封測廠采鈺
14,台積電指出，公司致力優化製程能源使用效率，為創造更多節能機會點朝機台節能最大化
14,的永續目標邁進，由節能減碳委員會依製程技術定義五大節能團隊，除全面推動生產機台與
14,廠務設備各項節能措施外，也積極鼓勵員工投入綠色創新，透過年度節能模範獎與創新獎激
14,發員工提出優良提案並付諸實現
14,去年總計節能億度，且奈米製程技術於量產第年成功
14,提升生產能效至，超越年度目標
14,台積電去年再生能源電力約為億度僅佔能源消耗量的，再生能源總量包含太陽光
14,電風力地熱水力
14,台積電董事長劉德音先前在公司股東會中表示，台積電在排碳還要
14,努力，因台灣綠電不足，綠電約佔台灣用電僅，台灣發展比歐美慢，台積電買太多會被
14,誤以為全買走，但買太少則又無法達到目標
14,/////
14,備註
14,綠電不足
14,繼續種電，砍樹良田山坡，都是綠電
14,台積電去年再生能源電力約為億度僅佔能源消耗量的，再生能源總量包含太陽光
14,電風力地熱水力
15,能源局預估年全台會用
15,////
15,///
15,能源局統計去年用電量減少服務業用電增幅多
15,////
15,統計去年全年用電量約
15,，用電量較前年年下降
15,景氣憂鬱產業用電量衰退
15,//////
15,全台產業用電量持續衰退，較去年同期減少，電力景氣燈號連續六個月呈現衰退的
15,藍燈
15,去年全台實際用電量已經比預估的少了億度
15,服務業及運輸部門成長最多
15,今年產業用電是衰退的
15,如果缺電不用怪台積電
15,用電成長最多的也不是產業用電
15,今年反而還衰退了
15,至於綠電依照之前的資料來看
15,以上都被台電收購也怪不了台積電
15,///
15,///
15,總而言之相信政府相信黨就對了
15,都說不缺電了是吧
16,房價反轉中
16,左營楠梓停漲這都數據不妙
16,經濟日報記者游智文即時報導
16,最新期清華安富房價指數顯示，
16,全台房價年漲幅持續下探
16,，台北市年成長幅度已連續
16,個月下滑，若成交量未回升，
16,預期下半年將出現負成長
16,另外高雄楠梓區月年成長率僅
16,，和去年同期房價幾乎持平
16,清華安富房價指數是依實價登錄中古屋資料，針對全台編制的房價指數
16,最新期年月房價指數顯示，全國各縣市
16,房價指數的年漲幅持續萎縮
16,，以六都而言
16,，除了桃園市及台中市的年漲幅維持在其他都會區皆小於
16,台北市月指數為，與上月相比減少，與去年同期相比，年漲幅僅
16,清
16,華安富分析，台北市房價指數年成長率看似為正值，但幅度已連續個月下滑，若後續未
16,有交易量能支撐，預期在下半年有可能出現負成長
16,進步觀察蝶北市各行政區房價指數表現，大安區士林區信義區中正區大同區
16,萬華區的年成長率皆為負值，其中又以高價區的大安區及信義區年成長萎縮幅度最大
16,年
16,漲幅為正的行政區依序為南港區內湖區松山區中山區文山區及北投區
16,受台積電設廠話題影響，高雄市房價年成長幅度在年月到達高峰，年漲幅
16,為，
16,隨後年漲幅逐漸下滑，觀察高雄市月指數為，與上月相比增加
16,，若與去年同期相比，指數年漲幅為
16,觀察各行政區表現，
16,年成長幅度未達的行政區有左營區楠梓區苓雅區及鳥松區
16,，
16,顯示該區域相較於其他行政區房市成長趨緩
16,其中楠梓區的房市在年颳起陣旋風，在年月指數年漲幅超過四成，而後續的
16,年成長率大幅度下滑，本期指數的年成長率僅，由此可見，區域產業發展就業機
16,會及人口紅利等話題性對房市發展有鉅大影響
16,清華安富表示，
16,國內景氣成長動能偏弱，民眾對通膨有感，加上房貸利率回到以上
16,，
16,使得全台各地房市現階段景氣漸趨下行，六都中台北市年成長幅度未及，高雄市新
16,北市台南市的年漲幅在，桃園市台中市及新竹縣市，則在之間
16,//////
17,目前幾乎把閒錢都拿去買台積電了
17,目前累積張
17,保留緊急預備金應該還可以再湊張
17,之前就有說過預計會生產奈米
17,等我放到那個時候股價可以到嗎
18,聯合
18,選哲之友會千人造勢柯文哲台灣不能成為中美對抗棋子
18,聯合報記者陳秋雲台中即時報導
18,民眾黨總統參選人柯文哲下午成立中區台灣選哲之友會，柯文哲花了分鐘的演說，談
18,到台灣擦槍走火發生戰爭的危險直存在，中美對抗的局勢已形成，台灣應該成為中美溝通
18,的橋梁，而不是中美對抗的棋子
18,要在夾縫中尋找平衡點，尋求最大台灣的利益
18,柯文哲開宗明義說，他參選總統的目的很簡單，希望台灣是個美麗之島福爾摩沙，而
18,不是外國媒體所說的全世界最危險的地方
18,柯文哲說，從巴菲特把台積電的股票賣掉，就是個警訊
18,理論上台灣不會發生戰爭，但是
18,擦槍走火的危險直存在
18,他出訪美國日本，對方的高層也直關注
18,他說，台灣應該是個團結和諧的國家，不應該是個分裂仇恨的國家
18,他今年參加白沙
18,屯媽祖遶境，有人開玩笑說九天八夜路上根本不用買任何東西吃，甚至連酸痛藥布都有，
18,這些奉獻的人也不會問你是國民黨還是民進黨，只說媽祖跟你結緣，台灣就是個這麼善良
18,的國家，人民與人民之間很友善
18,但到了選舉，就充斥仇恨與分裂，他也知道仇恨是最便宜
18,最有效動員的工具，但執政者不應當如此
18,柯文哲表示，我們希望台灣是中美溝通的橋梁不應該是中美對抗的棋子
18,他要跟大
18,家講，中美對抗的局勢已經形成，且未來幾年應該都是這樣
18,台灣應該思考的是，在中美
18,對抗的架構之下，台灣如何在夾縫中尋找平衡點，謀求台灣的最大利益
18,柯文哲說，台灣需要個清廉勤政愛民愛鄉土的政府來帶領大家，而不是天到晚製
18,造仇恨灑大幣債留子孫，天到晚製造分裂的政府來領導
18,///
19,媒體來源
19,中時
19,記者署名
19,盧伯華
19,完整新聞標題
19,荷蘭宣布限制光刻機對中國出口新規則月生效
19,完整新聞內文
19,荷蘭政府周五日宣布，限制部分先進半導體製造設備出口的新規定於月日生效
19,該規定被認為旨在阻止艾司摩爾的先進光刻機出口到中國
19,美國據報亦正研究新
19,的出口管制，可能在月公布
19,北京對事件表示密切關注，批評美方脅迫其他國家對華搞
19,科技封鎖，干預企業之間的正常經貿往來
19,綜合外媒報導，荷蘭貿易部制定的新措施要求生產先進晶片製造設備的公司在出口前申請
19,許可證，貿易部長史賴內馬赫表示，荷方的舉措是為了維護
19,國家安全，但是令人高興的是，有關公司現在知道自己的立場，他們能夠及時適應新措施
19,隨後發表聲明指，根據新措施，深紫外光光刻機的出口將需向荷蘭政府申請
19,許可，由後者決定是否授予或拒絕批准，受限產品包括及後繼型號
19,將繼續出口法規，包括荷蘭歐盟和美國的法例
19,聲明又提到，極紫外光光
19,刻機先前已限制出口，其他產品尚未受限
19,報導說，美國也制定新的出口管制措施，可能月下旬公布，預計向家中國晶片企業設限
19,，美企向這些公司提供設備時亦需先獲得許可，申請有可能被拒絕，當中包括中國最大晶
19,片製造商中芯國際
19,美國規定將適用於全球，也包含在內，因該公司系統使
19,用美國零件
19,在全球和光刻機生產上具有壟斷地位，旦受限，中國以下製程的各種晶
19,片，包括生產都將受到衝擊
19,中共外交部發言人毛寧表示，中方將密切關注有關動向，堅決維護自身的合法權益
19,中方
19,貫反對美方泛化國家安全概念，濫用出口管制，以各種借口拉攏脅迫其他國家對華搞
19,科技封鎖，以行政手段干預企業之間的正常經貿往來，嚴重破壞市場規則和國際經貿秩序
19,，衝擊全球產供鏈的穩定，不符合任何方的利益
19,完整新聞連結或短網址不可用等轉載媒體
19,////
19,備註
19,小粉紅不怕~~~咱中国已造出光源樣機了
19,可是年前你們中国不是就吹年內要造出光刻機
20,欸欸欸，
20,台灣，
20,台積電相關產業鏈就佔了成以上，
20,台積電養活了台灣多數人，
20,美國會這麼挺台灣，
20,也是因為有台積電，
20,那麼，
20,台灣沒有了台積電台灣還有什麼價值呢
20,沒有了台積電的台灣，
20,世界誰還會關注
20,問
20,_
21,公視新聞網
21,////
21,新竹市關新里平均所得萬連年是全臺上濟
21,張君豪/新竹報導發布時間更新時間
21,///
21,_
21,財政部公布年度綜合所得稅的結算結果，新竹市東區的關新里，平均所得相連紲四冬
21,排全台灣上懸有萬
21,抑若以縣市來分，新竹市平均所得萬，仝款是全台第名
21,，隔壁的新竹縣，平均所得是萬，頭擺超過台北市提著第名
21,這則新聞標題
21,前言內文為臺語文
21,來到全台所得上懸的新竹市關新里，看著棟棟新起的大樓，附近毋但生活機能好，閣
21,有公園會當散步運動，而且遮離新竹科學園區，只需要分鐘的車程
21,新竹市關新里里長黃雅卿講蹛遮攏是佇園區食頭路的人，疫情期間其實各行各業大部
21,份攏無好的，科技業顛倒逆勢夯起來，佇園區上班族的薪水，顛倒是逆向成長而且是成長
21,誠濟
21,根據財政部所公布舊年所得稅結果，蹛佇遮的人平均所得萬，而且已經連續四冬全
21,台上好野，若是以各縣市來比，新竹市平均萬仝款全台第，新竹縣以萬，頭
21,擺超過台北市
21,竹北市斗崙里長張婉媃講遮嘛是以外來的人口較濟，遮的居民大部份攏是佇科學園區
21,上班
21,新竹縣寶山鄉長邱振瑋也表示最近幾年台積電佇寶山鄉，徵收公頃欲起奈米參
21,奈米工廠，嘛予寶山鄉發展了真緊
21,雖罔平均所得是全台第，毋過關新里的厝價嘛是無俗，舊年的厝價已經比前年閣起
21,欲成，目前平均坪已經欲倚萬
21,張曼亭/編輯
22,高雄天氣好要吹捧下
22,演唱會開在高雄也要發個新聞
22,高雄有鋼彈
22,也要洗整天新聞
22,高雄有台積電也整天洗
22,哇靠
22,為什麼整天有吹捧高雄的新聞
22,小惡魔很好奇
22,掛
22,嘻嘻
23,現在的年輕人都面對了些問題，
23,但是感覺起來能力越大的真的很辛苦，
23,在科技業方面，要年輕人撐起來，像是台積電，好好輪班救台灣，
23,當國家有難的時候，又要去第線打仗
23,要養父母，如果有結婚，要生小孩，養育兒女，
23,以上這些金錢都還好，更困難的是還要承擔買房子的費用，
23,這社會是不是都期待年輕人可以扛住這些壓力啊
23,有沒有這樣做對年輕人太不公平的八卦呢
23,你說如果本來薪水就很低，那上面的都可以放棄了，
23,但是薪水假如就是卡到有能力買房，但是要顧慮東顧慮西，
23,怕被裁員，怕上戰場，怕房子買了被套空，
23,想想就覺得好累喔，
23,有的時候還真的覺得，能力爛點真的比較爽，沒有期待沒有傷害，
23,路過新竹關東商圈，房子多萬起跳，
23,買下去，運氣好沒有被裁就沒事，運氣不好被裁或上戰場就通通沒了，
24,備註請放最後面違者新聞文章刪除
24,媒體來源
24,自由時報
24,記者署名
24,記者蔡淑媛台中報導
24,完整新聞標題
24,台灣不會戰爭
24,柯文哲有擦槍走火的危險存在
24,完整新聞內文
24,柯文哲參加中區選哲之友會成立誓師大會，揮旗造勢
24,記者蔡淑媛攝
24,//
24,柯文哲今天參加中區選哲之友會成立誓師大會時致辭表示，台灣理論不會有戰爭，但有
24,擦槍走火的危險存在
24,中美對抗局勢形成，台灣應是中美溝通的橋樑，不是中美對抗的
24,棋子，台灣應該在夾縫中去尋找平衡點，謀取台灣最大利益
24,他也對近日雞蛋供需失衡，
24,傳出進口雞蛋要銷毀，認為這是政府失能
24,柯文哲今在台中進行千人造勢，他的父母及妻子陳佩琪都到場，他表示，參選目的是希望
24,台灣是美麗之島福爾摩沙，不是像外媒所說的危險之島，但巴非特把台積電股票賣掉是
24,警訊，台灣理論不會有戰爭，但有擦槍走火的危險存在，出訪美日，高層都很緊張，台灣
24,應是團結和諧，不該是分裂仇恨國家
24,他說，台灣只要選舉到就仇恨分裂，仇恨是政治動員最便宜有效的工具，執政者不該如
24,此，未來幾年，台灣在中美對抗的夾縫中去尋找平衡點，謀取台灣最大利益，因此，台
24,灣需要清廉勤政愛民愛鄉土的政府帶領，不是製造仇恨撒大幣債留子孫在國內
24,製造分裂的政府來領導
24,柯文哲提及，他從台大醫院素人從政，思考台灣藍綠不同是政治價值信念不同，強調理
24,性務實科學，不要訴諸口號，不偏重個人利益，強調政治誠信，短期操作可占到便宜
24,，政治誠信才能久遠，他又說他當了八年市長，政治不難，個原則是對的事情做，不對
24,的事不要做，認真做，難在堅持，我們不期待能改變這個國家，也不可期待什麼事不做，
24,這個國家會改變，對於這個成立年的政黨，他看到大家就是謝謝
24,柯文哲強調，年是台灣的轉捩點，台灣缺水缺電缺工缺地缺人才，尤其是缺
24,蛋更奇怪，代表政府失能的現象，台灣需要多少量多少蛋雞生蛋要進口多少蛋，怎麼
24,搞到蛋太多要銷毀，農委會也不對勁，我也認為政府不可能每件都做好，做錯時又怎麼做
24,，還有疫苗也是送得比買的多
24,他最後說，自己選總統是只是象徵，希望台灣因為有我們
24,變得更好
24,柯文哲今天舉行中區選哲之友會成立誓師大會
24,記者蔡淑媛攝
24,柯文哲今天舉行中區選哲之友會成立誓師大會，現場支持者高呼口號
24,記者蔡淑媛攝
24,柯文哲今在台中進行千人造勢，他的父母及妻子陳佩琪都到場
24,記者蔡淑媛攝
24,完整新聞連結或短網址不可用等轉載媒體
24,//////
24,備註
25,記者高兆麟綜合報導
25,台積電先進晶片考慮在日生產資深副總不排除可能性
25,根據日媒報導，台積電資深副總張曉強月日於日本橫濱市舉行的記者會上表示，
25,針對用於自動駕駛技術的晶片是否在日生產，他對此表示不否認未來可能性
25,根據日媒共同社報導，用於自動駕駛技術的尖端半導體是否在日生產，他對此不否認未來的
25,可能性，不過也沒有透露具體細節，僅強調目前台積電正集中精力啟動正在建設的熊本廠，
25,並以高良率來進行生產
25,台積電目前正在興建中的熊本廠位於熊本縣菊陽町，預計年月啟用，規劃生產/
25,奈米以及/奈米製程晶片，預計月產能為萬片
25,張曉強也表示，目標在年量產製程研發順利，的良率已超過成，研發目
25,標已達成八成
25,張曉強也指出，原先依賴成熟製程的車用晶片，隨著汽車電動化以及自駕導入普及，
