,words
目標價,206
取得,205
達到,205
百分點,205
績效,204
完成,204
下滑,203
內容,203
兔年,202
回升,202
除息,202
比重,201
高達,200
自營商,200
比較,199
加碼,199
突破,198
關鍵,197
科技股,197
相當,197
定期,195
息率,195
優勢,194
報酬,193
日前,193
類股,192
淡季,192
人工智慧,188
成本,187
解決方案,187
成交,186
成交量,186
累計,186
業者,184
計畫,183
多頭,183
統一,183
製造,182
空間,181
海外,181
連續,181
廠商,181
發行,180
現在,180
獲得,180
集中,179
持股,179
價值,179
定額,178
金融,178
追蹤,178
來自,177
高檔,177
宣布,176
部位,176
收入,174
因素,174
歐洲,173
掛牌,173
指標,173
網路,173
高階,173
提高,172
選擇,172
銀行,171
賣超,171
回溫,170
早盤,170
為元,169
紀錄,168
波動,168
汽車,168
計算,168
工程,167
醫療,167
支出,167
亮眼,166
來到,166
針對,166
有利,165
短線,165
能力,165
規劃,165
合計,165
收盤價,164
延續,164
虧損,164
大型,164
經理人,163
第一,163
向上,163
帶來,163
總經理,162
代工,162
近年,161
需要,161
也將,161
散熱,161
工業,161
加速,161
重點,161
幅度,160
掌握,159
轉型,158
最後,157
農曆年,156
能源,155
漲停,155
因應,155
光電,155
方式,154
通訊,154
是否,154
雙位數,154
長榮,154
尤其,154
挑戰,153
量產,153
以元,153
增年,153
電動車,153
整合,153
狀況,153
本文,152
群益,152
傳統,152
同意,152
上游,152
機構,151
跌幅,151
母公司,150
印度,150
本季,150
季減,149
轉載,149
營業,149
成立,149
中信,149
股東,148
團隊,148
包含,148
降低,148
未經,148
模組,148
代表,148
禁止,147
昨天,146
整理,146
管理,146
單季,146
情況,146
決議,145
廣達,145
問題,144
啟動,144
召開,144
子公司,144
龍頭,143
網友,143
之後,142
取用,142
正向,141
原文,141
快速,141
環境,140
基本面,140
年增率,139
消費,139
萬張,139
先前,139
運動,139
天數,138
循環,138
上升,138
看到,137
存股,136
繼續,136
逐漸,136
晶圓,136
聯準,135
產品線,135
首季,135
四大,135
報告,135
支撐,134
交易日,134
月底,134
申購,134
數位,133
評等,133
看待,133
期待,133
這次,132
面板,132
高於,131
紅海,131
具有,130
聚焦,130
選股,130
運價,130
稅前,130
供應商,129
直接,129
櫃買,129
領息,128
發放,127
累積,127
運算,127
健康,127
驅動,126
加權指數,126
開盤,126
進場,125
分配,125
實際,125
衰退,125
收元,124
來源,123
格局,123
利益,123
綠色,123
封裝,123
導入,123
亞洲,122
平準,122
單位,122
記憶體,122
應該,121
作收,121
買賣,121
為主,121
每年,121
打造,120
漲勢,120
變化,119
終端,119
華城,119
修正,119
盤面,119
通路,118
價差,118
評估,118
評價,118
一定,118
效應,118
機率,118
結合,118
利用,117
激勵,117
則是,117
年底,117
升級,117
審慎,117
升息,116
不斷,116
聯發科,116
再度,116
市場需求,116
越南,115
於今,115
均線,115
分析師,115
政府,114
點收,114
導致,114
超微,114
每月,114
旺季,114
來說,114
供應,113
上櫃,113
不錯,112
滿足,112
永豐,112
拓展,112
加入,112
能見度,111
成長率,111
強化,111
擁有,111
募集,111
優化,111
工作,111
釋出,111
強調,110
比例,110
迎來,110
多元,110
建設,110
減年,110
主因,109
低點,109
力道,109
活動,109
拉貨,109
新台幣,109
偏多,109
全面,108
實現,108
焦點,108
選擇權,108
接單,108
大量,108
交易所,107
符合,107
消費者,107
行動,107
金融股,106
人數,106
專案,106
搭配,106
上揚,105
女子,105
階段,105
歷年,105
標準,105
有助,105
利多,105
世界,105
使用,105
法說,105
基礎,105
賣壓,105
成功,104
攀升,104
吸引,104
創造,103
改善,103
效益,103
零組件,103
適合,102
走高,102
希望,102
一次,102
新興,102
以下,102
生成式,102
主題,102
納入,102
已獲,102
專業,101
低於,101
危機,101
恢復,101
核心,100
正式,100
淨值,100
效率,100
壓力,100
避險,100
面臨,100
十大,100
考量,100
下降,99
元件,99
中小型,99
結束,99
說明,99
公債,98
大關,98
航運,98
過年,98
權重,98
協助,98
準備,97
之外,97
升至,97
完整,97
經營,97
網通,97
龍年,97
估計,96
具備,96
所有,96
中興,96
給予,96
將在,96
公開,96
同樣,96
生技,95
組合,94
平倉,94
千金,94
現金流,94
舉行,94
元大,94
保守,94
精選,94
認證,93
測試,93
持平,93
短期,93
主力,92
功能,92
公噸,92
收斂,92
歸屬,92
元年,92
配置,92
競爭,92
美食,92
有效,92
淨損,92
至少,91
採用,91
至今,91
填息,91
更是,91
創意,91
微軟,91
申請,91
收在,91
現貨,91
籌碼,91
參考,91
看法,90
新春,90
金融債,90
券商,90
新增,90
研究,90
電腦,90
建置,90
富邦,90
新品,89
改寫,89
兩大,89
第二,89
值得,89
去化,89
五年,89
北美,88
小幅,88
水位,88
電網,87
中長期,87
認列,87
反映,87
前景,87
蘋果,87
去年底,87
推薦,87
鎖定,86
真的,86
一檔,85
復華,85
地區,85
基期,85
受益,85
再創,85
最近,85
調節,85
電商,85
相較,84
買盤,84
上周五,84
匯率,84
月份,84
逐季,84
檢測,84
特別,83
用於,83
船舶,83
年前,83
波段,83
繳出,83
最佳,83
區間,83
本次,83
大增,83
保持,83
世芯,83
不變,83
自結,83
加持,83
月光,83
金控,83
消費性,82
將是,82
指期,82
技嘉,82
高價,82
疫情,82
智能,82
提前,82
原因,82
完工,82
市況,81
首次,81
此次,81
優質,81
股權,80
日股,80
覺得,80
第三,80
留言,80
成績,80
態勢,80
日圓,80
以點,80
數字,80
有助於,80
考慮,79
安聯,79
緯創,79
野村,79
理財,79
結構,79
紛紛,79
分享,79
國聯,78
高速,78
造成,78
財務,78
回到,78
辦理,78
反彈,78
許多,78
競爭力,78
寫下,77
美系,77
經驗,77
關卡,77
重返,77
配合,77
安全,77
國家,77
將有,77
專區,77
上市公司,77
三成,76
電視,76
業主,76
區域,76
重電,76
多數,76
了解,76
之下,76
收購,75
尚未,75
季增,75
之前,75
貨櫃,75
三個,75
信心,75
在手,75
挑選,75
會議,75
會員,75
地緣,75
兩檔,75
英業達,75
增至,75
個位數,75
衛星,74
季度,74
等級,74
單日,74
宏碁,74
泰國,74
台電,74
擴增,74
電信,74
明年,74
將會,73
散裝,73
回檔,73
速度,73
顯著,73
年來,73
臨床,73
攜手,72
長天,72
軟體,72
共同,72
治療,72
產品組合,72
要求,72
增幅,72
營收將,72
普遍,72
良好,72
領先,72
前三季,72
投控,72
工廠,72
接近,71
知道,71
全新,71
舉辦,71
債市,71
海運,71
三年,71
玉山,71
收點,71
聯電,71
想要,71
順利,70
政治,70
認購,70
環保,70
擴張,70
衝上,70
確定,70
本周,69
大摩,69
遊戲,69
左右,69
軌道,69
歐美,69
了結,68
資安,68
兩個,68
展開,68
回補,68
自行,67
增個,67
注意,67
發生,67
排名,67
東南亞,67
方案,67
台北,67
發布,67
達成,67
展現,67
世達,67
並不,67
提醒,67
以內,66
夥伴,66
今年以來,66
買氣,66
一周,66
超越,66
新光,66
平盤,66
分散,66
漲點,66
跌破,66
規格,66
營收達,66
滲透率,66
預測,66
凱基,66
運用,65
試驗,65
減個,65
兩年,65
兆元,65
之間,64
發酵,64
最低,64
一成,64
自年,64
緯穎,64
再生,64
京城,64
收在點,64
較大,64
電源,63
代工廠,63
文曄,63
資源,63
追求,63
股本,63
建立,63
近日,63
自有,63
執行,63
站上,63
補漲,63
升溫,63
裝置,63
隱形眼鏡,63
損失,63
地位,62
面對,62
展望未來,62
概念,62
亞馬遜,62
最快,62
發科,62
訊息,62
高度,62
業界,62
熱門,62
百分比,62
一波,62
財測,62
自動化,62
品質,62
效果,61
東陽,61
爆發,61
涵蓋,61
正面,61
原則,61
強韌,61
門市,61
奧運,61
合約,61
跳空,61
放緩,61
一路,61
官網,61
首度,61
每個,61
措施,61
再創新高,60
這是,60
之上,60
台廠,60
五成,60
受益人,60
上周,60
特性,60
周期,60
美債,60
重新,60
同業,60
東元,60
熊本,59
內外,59
員工,59
顯示器,59
機制,59
唯一,59
拉高,59
決定,59
篩選,59
人氣,59
更好,59
製造業,58
生活,58
無法,58
零售,58
跡象,58
年期,58
換算,58
佈局,58
已於,58
放大,58
內部,58
條件,58
轉向,58
零件,58
結算,58
多項,57
範圍,57
方向,57
改變,57
全台,57
變壓器,57
數量,57
能夠,57
朋友,57
聯盟,57
處分,57
國產,57
水冷,57
支持,57
群創,56
明確,56
邏輯,56
僅供參考,56
原本,56
一個月,56
拉長,56
成果,56
藥物,56
發現,56
權值,56
邊緣,56
各項,56
容易,56
走揚,56
揭露,56
兆豐,56
出口,56
太陽能,56
達克,56
盤查,55
尺寸,55
驗證,55
士電,55
增稅,55
原料,55
推進,55
旅遊,55
特殊,55
那斯,55
控制,55
創高,55
環球,55
反應,55
減碼,55
紅包,55
本業,55
將成,55
青睞,54
當地,54
利用率,54
擴充,54
筆電,54
一些,54
上調,54
新藥,54
其他人,54
領到,54
谷底,54
外界,54
儲能,54
一直,54
金管會,54
在於,54
降溫,54
透露,54
雙雙,54
專家,54
下游,54
中性,53
據點,53
採購,53
氣體,53
上海,53
一張,53
節能,53
體驗,53
項目,53
既有,53
這檔,53
併購,53
不到,53
綜合,53
切入,53
屬於,53
擔心,52
股債,52
讀者,52
出爐,52
中鋼,52
第季營,52
發行價,52
財富,52
單價,52
中華電信,52
英特爾,52
證券商,52
有所,52
市占率,52
估算,52
仍將,52
充電,52
差異,52
特色,52
家庭,52
多家,51
佳績,51
系列,51
深化,51
天期,51
一季,51
飆漲,51
印尼,51
漢來,51
助攻,51
再次,51
轉為,51
四成,50
賣出,50
招攬,50
過程,50
產生,50
長假,50
槓桿,50
國內外,50
邀約,50
開幕,50
亞力,50
股王,50
構成,50
搶攻,50
國防,50
開高,50
高峰,50
季財報,50
主流,50
年初,50
特定,50
這波,50
可達,50
承銷,50
減資,49
陽明,49
距離,49
萬人,49
金龍年,49
發行商,49
手續費,49
相比,49
採取,49
作業,49
增溫,49
餐飲,49
萬八,49
大會,49
萬美元,49
暢旺,49
分批,49
被動,49
盤勢,49
年化,49
投產,49
尾聲,49
牽動,49
綠能,49
熱潮,49
連結,49
成績單,48
討論,48
已有,48
矽統,48
精準,48
增創,48
執行長,48
浪潮,48
態度,48
優息,48
潛在,48
程度,48
毛利,48
關係,48
奈米,48
貶值,47
延伸,47
傳出,47
工具,47
參加,47
一名,47
隨後,47
現階段,47
必有,47
電力,47
有限,47
通常,47
興櫃,47
興建,47
治理,47
友達,47
刷新,47
卡位,47
晶圓廠,46
費用,46
高台,46
契約,46
登場,46
冠軍,46
產線,46
可期,46
巴菲特,46
正在,46
信託,46
官員,46
物流,46
站穩,46
線上,46
避免,46
下單,46
主管,46
貨幣政策,46
鮮活,46
行銷,46
熱絡,46
正常,46
發文,46
專注,46
用戶,46
至元,46
並將,46
門檻,46
重回,46
落實,45
基地,45
打入,45
航空,45
過後,45
檢視,45
報價,45
廠房,45
不確定性,45
收將,45
藉由,45
準會,45
複合,45
一舉,45
不用,45
新廠,45
邁向,45
較前,45
製造商,45
五大,45
月初,45
擴展,45
依據,45
處理,45
鏡頭,45
成長性,45
總計,45
意願,45
天價,45
衝擊,45
董事,44
狀態,44
一點,44
模式,44
漲多,44
實體,44
深耕,44
車廠,44
收益分配,44
三期,44
規定,44
備貨,44
二成,44
設立,44
有利於,44
高端,44
過往,44
最多,44
小資,44
減碳,43
謹慎,43
翻倍,43
營建,43
重大,43
月台,43
簡單,43
本益比,43
萬片,43
把握,43
換機,43
預料,43
社會,43
組成,43
融資,43
發揮,43
馬達,43
淨空,43
潛力,43
輪動,43
利得,43
委託,43
將為,43
依舊,43
位於,43
整體而言,43
股東會,43
富蘭克林,43
上萬,43
台泥,43
發表,42
邁進,42
決策,42
有人,42
相信,42
電機,42
大同,42
期交所,42
開工,42
民眾,42
影音,42
新能源,42
年將,42
主管機關,42
議題,42
費城,42
史上,42
差點,42
道瓊,42
好轉,42
排除,42
十年,42
熱度,42
亮麗,42
前年,41
亮點,41
提到,41
總體經濟,41
聯發,41
聯網,41
健保,41
完全,41
世代,41
經濟日報,41
判斷,41
以外,41
便宜,41
利基,41
比率,41
貨幣,41
就業,41
走強,41
在點,41
提出,41
春節假期,41
寬鬆,41
韌性,41
供給,41
進度,41
除權,41
月營,41
台新,40
契機,40
增資,40
超前,40
轉虧,40
電聯,40
支援,40
硬體,40
將於,40
自動,40
首檔,40
加大,40
說明會,40
回測,40
百億元,40
三檔,40
並於,40
期望,40
停止,40
幾年,40
價外,40
一下,40
封測,40
外銷,40
主軸,40
投資者,40
進軍,40
賺錢,40
告一段落,40
氣候,40
搭載,40
七成,40
這項,40
航太,40
價位,39
新年,39
疲弱,39
越來越,39
水泥,39
依然,39
優先,39
部門,39
約元,39
上季,39
高雄,39
解決,39
新一波,39
華新,39
假期,39
支付,39
季節性,39
公共,39
壽險,39
剩餘,38
基板,38
動力,38
六成,38
原先,38
含息,38
轉投資,38
供需,38
獨家,38
領軍,38
建材,38
上線,38
買權,38
推估,38
可能性,38
孫太,38
台塑,38
引進,38
全部,38
預算,38
指標股,38
監控,38
輕鬆,38
溫和,38
退休,38
下旬,38
開春,38
打算,38
多空,38
鋼廠,38
媒體,38
全數,37
歷經,37
即可,37
至點,37
幫助,37
巨頭,37
回顧,37
電價,37
單一,37
下台,37
瑞昱,37
固定,37
行業,37
排列,37
並未,37
帶領,37
限制,37
記者,37
普通股,37
航線,37
商用,37
增為,37
事件,37
交出,37
調漲,37
精密,37
架構,37
情緒,37
時程,37
首選,37
安謀,37
劑型,37
里程碑,37
長達,37
等於,36
在家,36
調升,36
雪倫,36
將於月,36
觀望,36
休市,36
兩成,36
估值,36
巴黎,36
優惠,36
遇到,36
代理,36
信用,36
溢價,36
加權,36
調查,36
大於,36
即時,36
依序,36
僅次於,36
資本額,36
介於,36
電動,36
年化配,36
平衡,36
逐年,36
動向,36
重申,36
動態,36
簽約,36
時代,36
連接器,36
經理,36
川湖,35
自由,35
最強,35
跌停,35
抱股,35
光寶,35
鋼筋,35
為點,35
話題,35
產業鏈,35
搶進,35
重視,35
一起,35
致力於,35
對此,35
常態,35
強固,35
六個月,35
當前,35
大跌,35
龐大,35
機器人,35
流動性,35
人民幣,35
處理器,35
電廠,35
模型,35
光學,35
分派,35
高價股,35
放款,35
不動產,35
已達,35
高盛,34
萬台,34
各大,34
類別,34
藥局,34
這也,34
公積,34
智慧型,34
展店,34
消化,34
瀚亞,34
摩根士丹利,34
八大關,34
多元化,34
核准,34
傳產,34
好奇,34
案場,34
評級,34
寬頻,34
散戶,34
整個,34
引領,34
多方,34
弱勢,34
最為,34
並在,34
詐騙,34
努力,34
電大,34
電池,34
接受,34
表態,34
到期日,34
債息,34
現有,34
遞延,34
扮演,33
元以,33
當時,33
學習,33
匯兌,33
公司債,33
落後,33
很大,33
翻紅,33
鋼市,33
及陸,33
增強,33
新猷,33
擴產,33
標案,33
延後,33
空調,33
驚人,33
相同,33
加強,33
央行,33
引發,33
將以,33
回歸,33
群聯,33
碳權,33
入手,33
調降,33
所致,33
藥品,33
適逢,33
常會,33
第一個,33
開放,33
將達,32
回饋,32
中銀,32
安國,32
損益,32
網站,32
較佳,32
補充,32
豐富,32
總金額,32
高通,32
有價證券,32
日線,32
日期,32
合理,32
第一次,32
智原,32
變數,32
金流,32
土地,32
抽籤,32
影像,32
休息,32
尾盤,32
前十強,32
超出,32
不足,32
華碩,32
亞德,32
強勢股,32
前進,32
萬點,32
刺激,32
等待,32
中華,32
連鎖,32
之際,32
專利,32
軟著陸,32
高效,32
轉強,32
時機,32
瞄準,32
溫室,32
信驊,32
名單,32
近個,31
還要,31
擔憂,31
喜歡,31
月減,31
委員會,31
營益率,31
訊號,31
靈活,31
面向,31
四個,31
收紅,31
標普,31
類型,31
達元,31
像是,31
規畫,31
地方,31
現象,31
存在,31
賣權,31
實驗室,31
不淡,31
電在,31
假設,31
家電,31
變動,31
中小,31
美債殖,31
當天,31
共有,31
確保,31
訂位,31
計劃,31
組織,30
德國,30
機種,30
拖累,30
開拓,30
聯詠,30
股份,30
上述,30
點月,30
九大,30
擴建,30
雙鴻,30
高科技,30
長期投資,30
華泰,30
國發,30
所得,30
拿下,30
取代,30
年節,30
每日,30
加工,30
物料,30
體質,30
風電,30
值得注意,30
口至口,30
緩步,30
連帶,30
走向,30
中旬,30
元為,30
神盾,30
都將,30
空單,30
重挫,30
能否,30
購物,30
差距,30
購買,30
拿到,30
無線,30
股金,29
自然,29
統包,29
制度,29
多單,29
主動,29
高速傳輸,29
收到,29
馬來西亞,29
業外,29
規範,29
疑慮,29
匯入,29
資不含,29
緊縮,29
低碳,29
走弱,29
遠傳,29
均價,29
第一季,29
自行車,29
本土,29
優異,29
得到,29
氣氛,29
手上,29
目的,29
各國,29
為止,29
製鞋,29
形成,29
台南,29
科技產業,29
歐盟,29
美國市場,29
運力,29
航商,29
奇景,29
連動,29
點台,29
迎接,29
本金,29
最高點,29
領漲,28
通路商,28
報導,28
晶碩,28
加薪,28
上攻,28
仁寶,28
股民,28
算是,28
回應,28
兼顧,28
情人節,28
金融業,28
密切,28
走跌,28
餘額,28
果汁,28
供貨,28
金龍,28
看出,28
桃園,28
貿聯,28
費半,28
率先,28
三星,28
承認,28
飲品,28
效能,28
瑞銀,28
四年,28
墨西哥,28
建準,28
儲存,28
實施,28
奇偶,28
過度,28
減稅,28
設定,28
詢問,28
萬股,28
審查,28
連假,28
情勢,28
交貨,28
成份股,28
旗艦,28
風扇,28
控股,28
在內,28
財經,28
高壓,28
下挫,28
抗跌,28
進口,28
實力,28
蓬勃發展,28
漲跌,28
漲停板,28
只能,27
彈性,27
換股,27
趨於,27
亦可,27
方法,27
幾個,27
跟上,27
再來,27
複利,27
一月,27
逆勢,27
廢鋼,27
查詢,27
單周,27
鋼價,27
亞太,27
綜效,27
九成,27
鋼鐵,27
型基金,27
價元,27
張數,27
日月,27
淨多單,27
情形,27
共計,27
受益權,27
附近,27
偏空,27
供不應求,27
傷口,27
掀起,27
中東,27
應對,27
傳輸,27
保費,27
多年,27
摩爾,27
點或,27
配息元,27
大立光,27
躍居,27
欣興,27
歸屬於,27
蘇州,27
容量,27
副總經理,27
期以點,27
投資收益,27
文化,27
東洋,27
影片,27
勁揚,27
副總,27
世紀,27
低檔,27
本月,27
老牛,27
人員,26
微幅,26
領導,26
融券,26
更將,26
高頻,26
憑證,26
總額,26
創業家,26
真正,26
大眾,26
兩次,26
宣導,26
增添,26
消息,26
牧德,26
下探,26
攝影,26
收達,26
光環,26
夜盤,26
新一代,26
矽智財,26
鏡片,26
低軌,26
事業部,26
顯現,26
軍工,26
轉盈,26
登錄,26
當日,26
不銹鋼,26
肯定,26
設廠,26
還會,26
迄今,26
客戶端,26
法規,26
兩家,26
各類,26
趨緩,26
除息日,26
半年,26
南僑,26
一半,26
做好,26
尋找,26
湧入,26
介入,26
頻率,26
粉絲,26
病患,26
債券市場,26
回收,25
照護,25
締造,25
拉升,25
低價,25
辨識,25
多重,25
整年,25
高品質,25
百和,25
特斯拉,25
售價,25
淨流入,25
過熱,25
再生能源,25
開低,25
全球股市,25
申報,25
高利率,25
周三,25
雙方,25
存股族,25
股價指數,25
案件,25
力旺,25
過濾,25
保護,25
準則,25
致力,25
葡萄,25
還在,25
推廣,25
缺口,25
美銀,25
引擎,25
逼近,25
夏普值,25
以往,25
也就是說,25
周四,25
時分,25
自主,25
看元,25
小型,25
更新,25
韓國,25
各家,25
最好,25
攻擊,25
確實,25
更大,25
公會,24
好消息,24
戰爭,24
觀光,24
成員,24
行列,24
理想,24
衝破,24
服務供應商,24
股漲,24
則為,24
盤價,24
看看,24
零股,24
為盈,24
年終獎金,24
細胞,24
組裝,24
點名,24
銷售量,24
占率,24
落底,24
小額,24
千元,24
股則,24
永裕,24
迅速,24
掌機,24
租金,24
錯過,24
流通,24
東京,24
陷入,24
線束,24
單筆,24
媽媽,24
衝高,24
股數,24
鴻海,24
回穩,24
兩岸,24
春酒,24
為例,24
干擾,24
意外,24
步入,24
高效能,24
文清,24
審議,24
協理,24
光子,24
就要,24
二年,24
龍頭企業,24
保健,24
年終,24
爭取,24
一站式,24
改列,24
聚餐,24
放在,24
塑膠,24
小跌,23
裕民,23
發行人,23
戶外,23
微星,23
扣除,23
廠區,23
知名,23
則有,23
科技類,23
激增,23
漲跌互見,23
值新,23
紡織,23
滅菌,23
還能,23
市面上,23
摩根,23
入帳,23
配出,23
是從,23
兼具,23
介面,23
收年,23
一筆,23
小時,23
建構,23
點數,23
延長,23
全體,23
金元,23
高值,23
日為,23
共享,23
全方位,23
萬戶,23
成熟,23
減為,23
當年度,23
應用服務,23
滑軌,23
期貨交易,23
促進,23
學習網,23
周二,23
將從,23
新低,23
帳戶,23
進駐,23
感測器,23
轉換,23
角度,23
突出,23
回落,23
第名,23
利息,23
天線,23
探針,23
正價,23
進展,23
追價,22
強大,22
加計,22
滿載,22
房地產,22
享有,22
電競,22
股族,22
反觀,22
補助,22
精進,22
紅利,22
第三代,22
建廠,22
將較,22
平板,22
公佈,22
幾檔,22
原油,22
液冷,22
譜瑞,22
以前,22
金屬,22
對聯,22
收益率,22
華為,22
第季將,22
總統大選,22
將由,22
上路,22
浮現,22
完善,22
國外,22
跨足,22
解釋,22
不利,22
帳面,22
前個,22
離岸,22
證期,22
膽道,22
擴廠,22
後將,22
激烈,22
維修,22
尾牙,22
腳步,22
這段,22
化學,22
訂定,22
漲價,22
承接,22
重量級,22
緩解,22
狂飆,22
主動式,22
巨擘,22
保證金,22
運作,22
諾貝,22
三雄,22
較前年,22
一家,22
感覺,22
擺脫,22
緩慢,22
娛樂,22
偏好,22
從事,22
倍增,22
自月,22
動用,22
慧洋,22
銷量,22
熱軋,22
價內,22
聯邦,22
下來,22
最終,22
高漲,22
股將,22
型態,22
家用,22
低迷,22
加劇,21
玻璃,21
一日,21
混凝土,21
辦法,21
疲軟,21
薪酬,21
我會,21
抱持,21
見到,21
伺機,21
今年底,21
有點,21
三家,21
實質,21
純損,21
綠電,21
金像,21
安全性,21
順勢,21
劇烈,21
建築,21
金融市場,21
轉移,21
概況,21
旅客,21
乖離,21
收發,21
展出,21
比將,21
對外,21
年營,21
規則,21
爆量,21
美國聯邦,21
跌元,21
影響力,21
控管,21
僅有,21
非農,21
集保,21
期許,21
收漲,21
南韓,21
萬噸,21
併入,21
生態圈,21
遭到,21
絲束,21
上限,21
走低,21
第四,21
嚴重,21
伴隨,21
差異化,21
普爾,21
王品,21
車輛,21
機械,21
喜愛,21
興趣,21
將使,21
少數,21
二期,21
寶成,21
訂閱,21
股開,21
大台灣,21
出籠,21
我國,21
管道,21
存續,21
將可,21
將有助,21
方便,21
版圖,21
二代,21
國人,20
海內外,20
右手,20
多個,20
氣勢,20
新股,20
交換器,20
利潤,20
富邦金,20
偏向,20
閱讀,20
不配,20
便利,20
吸金,20
數據分析,20
應用領域,20
工具機,20
下調,20
總經,20
股中,20
每次,20
生效,20
宣告,20
住宅,20
國巨,20
用電,20
適度,20
三次,20
到來,20
宏捷科,20
複雜,20
顧問,20
物價指數,20
動作,20
金河,20
外部,20
新案,20
獨立,20
寶座,20
勞動,20
終止,20
金雞,20
衝刺,20
功率,20
普鴻,20
注射,20
朝向,20
天璣,20
將逐季,20
鼓勵,20
因子,20
第五,20
新普,20
助力,20
致伸,20
適當,20
增量,20
存款,20
簡稱,20
想像,20
健身器材,20
注入,20
軟硬,20
機台,20
一倍,20
旭然,20
評鑑,20
一大,20
近幾年,20
知識,20
使用者,20
利率政策,20
說明書,20
能量,20
新聞,20
八大,20
營收及,20
衝突,20
醫學,20
額外,20
新加坡,20
期盼,20
折疊,20
流程,20
豐泰,20
往年,20
吳康瑋,20
胡塞,20
實收,20
護城河,20
半導體業,20
開高走低,20
列車,20
上午,20
華藥,20
開啟,19
不易,19
面積,19
千億元,19
奠定,19
管控,19
主打,19
週期,19
電業,19
折疊機,19
成分,19
內需,19
顧客,19
加拿大,19
華南,19
下去,19
理事會,19
開關,19
商圈,19
光纖,19
聯手,19
此時,19
營造,19
每季,19
攀高,19
角色,19
顧問處,19
主席,19
健身,19
湧現,19
合資,19
黃金,19
設備廠,19
散裝船,19
實業,19
走出,19
增速,19
日止,19
看盤,19
電信業,19
不高,19
卓越,19
飆股,19
依序是,19
氣墊,19
萬九,19
年間,19
漲元,19
搶先,19
顯卡,19
具體,19
成衣,19
水廠,19
位階,19
淨零,19
找到,19
往往,19
收為,19
局面,19
介紹,19
基建,19
研調,19
華固,19
上點,19
遊艇,19
亞股,19
一口氣,19
取消,19
案將,19
附加,19
剩下,19
檔數,19
第四季,19
立即,19
大通,19
三月,19
不銹,19
廣泛,19
化工,19
額度,19
心態,19
回流,19
位置,19
滑落,19
化配,19
近成,19
萬海,19
有家,19
經濟部,19
短期內,19
冷門,19
兩位數,19
前大,19
全福,19
一種,19
間接,19
深入,19
美國股市,19
咖啡,19
想法,19
經歷,19
榮剛,18
上班族,18
墊高,18
躍升,18
